wordnet_id,core_synset,definition,core_lemma
32379732,programmer.n.01,an individual who uses their technical expertise to gain unauthorized access to computer systems for malicious or personal gain.,computer hacker
32473966,work.v.05,A slanted edge or surface resulting from cutting or shaping at an angle that is not a right angle.,bevel
32902730,religious_person.n.01,a person who manifests devotion to a deity,religious_person
32932491,coin.n.01,"A metal combination primarily composed of copper and nickel, often used for its strength, corrosion resistance, and superior thermal and electrical properties.",copper-nickel alloy
33006578,use.v.01,The power to influence or direct people's behavior or the course of events.,control
33478721,molding.n.02,a decorative strip used for ornamentation or finishing,molding
34475997,club_moss.n.01,primitive evergreen moss-like plant with spores in club-shaped strobiles,club_moss
34578737,cloak.n.02,Wine is an alcoholic beverage made from fermented grapes or other fruits.,wine
34773230,material.n.01,"a natural oily substance occurring in animal bodies, especially when deposited as a layer under the skin or around certain organs.",fat
36507085,supporter.n.01,a person who backs a politician or a team etc.,supporter
36678439,agent.n.03,"A hormone that stimulates the activity of the gonads, particularly by promoting the production of sex steroids and gametes.",gonadotropin
37287360,statement.n.01,"a formal written instrument which expresses agreements, rights, or obligations enforceable by law.",legal document
37319253,spirit.n.04,"a supernatural being believed to inhabit and personify waters, often depicted as having human-like form and possessing magical powers.",water spirit
37547870,dressing.n.01,savory dressings for salads; basically of two kinds: either the thin French or vinaigrette type or the creamy mayonnaise type,dressing
37736408,person.n.01,a follower or believer in Jesus Christ and his teachings.,christian
38014258,child's_game.n.01,"A structured form of play, often undertaken for enjoyment and sometimes used as an educational tool.",game
38297191,organization.n.01,"a gathering or assembly of Baptist congregations that convenes to discuss theological, administrative, and societal issues within their community.",baptist convention
38402744,egotist.n.01,a conceited and self-centered person,egotist
38954086,gonadotropin.n.01,a hormone secreted by the pituitary gland that stimulates milk production and affects reproductive behaviors and immune response.,prolactin
39139190,cheese.n.01,"Clothing designed to be worn outdoors, typically for protection against the weather.",outerwear
39560404,mobility.n.01,Locomotion refers to the ability to move from one place to another.,locomotion
39566065,oldster.n.01,an elderly person,oldster
39595218,policeman.n.01,a member of a police force,policeman
40825299,armor_plate.n.01,specially hardened steel plate used to protect fortifications or vehicles from enemy fire,armor_plate
40945115,relaxant.n.01,"A substance that interferes with the transmission of nerve impulses to muscles, commonly used to cause muscle relaxation during surgery.",neuromuscular blocking agent
40995095,glass.n.01,a brittle transparent solid with irregular atomic structure,glass
41015844,person.n.01,"A representative or intermediary who acts on behalf of others, often in business, entertainment, or secretive operations.",agent
41031648,natural_language.n.01,"A term referring to a group of people originating from Europe, North Africa, or Western and Central Asia, typically characterized by lighter skin pigmentation.",caucasian
41161074,nonsense.n.01,a message that seems to convey no meaning,nonsense
41458919,write.v.02,communicate or express by writing,write
41565779,primate.n.02,"A primate mammal that lacks a tail, including gorillas, chimpanzees, orangutans, and gibbons.",ape
41766391,chemical_reaction.n.01,(chemistry) a process in which one or more substances are changed into others,chemical_reaction
41982710,location.n.01,"A defined area or division within a country or the world, often distinguished by geographical, cultural, or administrative features.",region
42048260,room.n.01,"a cuisine originating from Italy, typically featuring ingredients like pasta, tomatoes, and olive oil, celebrated for its regional diversity and emphasis on high-quality, fresh ingredients.",italian dish
42849420,furniture.n.01,"a small coin and monetary unit within various countries, including the United States and the United Kingdom, typically representing one-hundredth of the basic currency unit.",penny
42931583,weight_unit.n.02,"A system of weights used historically for compounding and dispensing medications, predominantly used by apothecaries.",apothecary weight
43060946,handicraft.n.02,a craft that requires skillful hands,handicraft
43153800,hormone.n.01,"a type of neurotransmitter that includes dopamine, norepinephrine, and epinephrine, which are important for regulating mood, arousal, and stress response.",catecholamine
43161384,christmas.n.02,"a Christian holiday celebrating the birth of Christ; a quarter day in England, Wales, and Ireland",Christmas
43301379,activity.n.01,"an act of revering or adoring a deity, person, or thing, often expressed through rituals, prayers, or ceremonies.",worship
43304323,adult.n.01,a person who is fully grown or developed and is considered legally responsible for their actions.,adult
43367797,discipline.n.01,"the application of scientific and mathematical principles to practical ends such as the design, manufacture, and operation of efficient and economical structures, machines, processes, and systems.",engineering
43431032,beverage.n.01,"a fermented beverage made from grapes, typically having a varied range of flavors and alcohol contents.",wine
43631801,spraying.n.03,the act of dispersing liquid in fine droplets over an area.,spraying
43735560,quantity.n.03,the concept that something has a magnitude and can be represented in mathematical expressions by a constant or a variable,quantity
43858443,association.n.01,a group of experts gathered to offer advice and recommendations on specific issues or decisions within an organization or government.,advisory committee
43918624,oil_gland.n.01,"a small gland in the skin that secretes sweat, typically more active during heat or stress to regulate body temperature.",sweat gland
44280552,happiness.n.02,"a moderately fast tempo in music, slower than allegro but faster than andante.",allegretto
44295589,represent.v.09,a result in a contest in which neither side wins.,draw
44621915,reprobate.n.01,a person who is sexually attracted to members of their own gender.,homosexual
44645737,container.n.01,"a rigid shipping container typically made of wood, used to store or transport goods securely.",crate
44838123,wisdom.n.04,A keen ability to make sound judgments and perceive subtle distinctions in complex matters.,sagacity
45258070,fern_ally.n.01,"a group of primitive spore-producing plants resembling mosses but classified as fern allies, often found in forested areas.",clubmoss
45297641,configuration.n.01,"a position of agreement or alliance between parties, objects, or systems, often ensuring proper positioning or coordination.",alignment
45418454,molding.n.02,a decorative strip used for ornamentation or finishing,molding
45564900,pasta.n.02,Money is a medium of exchange in the form of coins and banknotes; collectively.,money
46150029,change.v.01,"Happen refers to an event or occurrence taking place, often without a deliberate plan.",happen
46394736,decoration.n.01,a process of shaping a pliable raw material by using a rigid frame or model called a mold.,molding
46673664,house.n.12,a building in which something is sheltered or located,house
46994920,cheese.n.01,Anadromous fish are species that migrate from the ocean to freshwater rivers and streams to spawn.,anadromous fish
47009060,pie.n.01,"a sweet food made primarily from sugar and often flavored or combined with fruits, nuts, or chocolate.",candy
47552953,dispute.n.01,A verbal conflict between individuals who disagree on a particular issue or topic.,quarrel
47595220,chemical_process.n.01,"a process in which substances undergo chemical changes, forming new substances with different properties, or an action performed or a feeling experienced in response to a situation or event.",reaction
47819321,supporter.n.01,a person who backs a politician or a team etc.,supporter
48223384,thoroughfare.n.01,"a public road in a city or town, usually with houses and buildings on one or both sides.",street
48351897,product.n.02,"A sweet, round fruit with a smooth skin and a pit at its core, typically ranging in color from purple to red or yellow.",plum
48754831,income.n.01,the financial gain (earned or unearned) accruing over a given period of time,income
49054805,mechanism.n.05,device consisting of a piece of machinery; has moving parts that perform some function,mechanism
49089576,lighter.n.02,a flammable liquid used to fuel lighters and assist in starting fires in grills or campfires.,lighter fluid
49300740,cost.n.01,"a decrease in money or resources due to spending on goods, services, or necessities.",expense
49358811,adult.n.01,a person who is fully grown or developed and is legally responsible for their actions.,adult
49462954,expense.n.01,"The price paid or required in payment for a purchase, or cost is the expenditure incurred to produce, purchase, or maintain a good or service.",cost
50262859,laborer.n.01,A person who works in a mine extracting minerals or other geological materials from the earth.,miner
50871471,agreement.n.01,the statement (oral or written) of an exchange of promises,agreement
50952217,worm.n.01,any of numerous relatively small elongated soft-bodied animals especially of the phyla Annelida and Chaetognatha and Nematoda and Nemertea and Platyhelminthes; also many insect larvae,worm
51060824,natural_phenomenon.n.01,"a change or development in society, culture, or technology that involves many people and their behaviors over time.",movement
51314050,disk.n.02,"A flat, circular toy that is thrown and caught in games and recreational activities.",flying disk
51946990,device.n.01,"A device or enclosure designed to catch and retain animals or objects, typically by means of a concealed mechanism.",trap
52325745,doll.n.01,"a quality involving physical or emotional resilience and strength, enabling someone to endure hardship or difficult situations.",toughness
52474100,shovel.n.01,"a tool designed for cleaning and removing debris from gutters, typically featuring a narrow, flat blade for scooping and a long handle for reach.",guttering shovel
52516409,misinform.v.01,Emphasize: to give special importance or prominence to something in speaking or writing.,emphasize
52711595,organization.n.01,"a connection or relationship between ideas, feelings, or objects that link them together in one's mind or in reality.",association
53022028,meat.n.01,"a space that is enclosed by walls and a roof within a building, typically used for living, working, or storing items.",room
53205877,makeup.n.01,"a sweet food made primarily from sugar, often combined with fruit, chocolate, or nuts, and typically enjoyed as a treat or dessert.",candy
53288018,room.n.01,"a solid food made by coagulating the milk of various animals, typically aged and available in a wide variety of flavors and textures.",cheese
53443611,snail.n.01,freshwater or marine or terrestrial gastropod mollusk usually having an external enclosing spiral shell,snail
53815934,trope.n.01,language used in a figurative or nonliteral sense,trope
54495173,time_off.n.01,a time period when you are not required to work,time_off
54931507,ailment.n.01,Morning sickness refers to the nausea and vomiting that often occurs during the first trimester of pregnancy.,morning sickness
55191509,utterance.n.01,the use of uttered sounds for auditory communication,utterance
55255145,sauce.n.01,"a thick, creamy dressing made primarily of egg yolks, vegetable oil, and vinegar or lemon juice, used as a condiment or salad dressing.",mayonnaise
55457672,trouser.n.01,"a rapid breathing often associated with excitement, exertion, or anxiety.",pant
55588327,englishman.n.01,"a political ideology that combines liberal policies on social issues with democratic principles to promote individual freedom, equality, and social justice.",liberal democrat
55653646,device.n.01,a system of parts working together in a machine or an interconnected series of processes that produce a specific result.,mechanism
55658809,cement.n.03,"a colorless, tasteless, translucent food ingredient derived from collagen obtained from various animal body parts, used in food preparation as a gelling agent.",gelatin
55812974,net.n.06,an open fabric of string or rope or wire woven together at regular intervals,net
55819553,noble_metal.n.01,"Silver is a chemical element with the symbol Ag and atomic number 47, known for its shiny, white metallic luster and high thermal and electrical conductivity.",silver
55826966,vasoconstrictor.n.01,"A hormone and neurotransmitter also known as adrenaline, which increases heart rate, muscle strength, blood pressure, and sugar metabolism, and is involved in the body's fight-or-flight response.",epinephrine
55983905,advocate.n.01,"A supporter or follower of a particular person, group, party, or belief.",adherent
56074056,financial_gain.n.01,"Money that an individual or business receives in exchange for providing labor, producing goods, or investing capital.",income
56112588,change.v.02,"a change to an opposite direction, position, or course of action.",reversal
56121520,worm.n.01,any of numerous relatively small elongated soft-bodied animals especially of the phyla Annelida and Chaetognatha and Nematoda and Nemertea and Platyhelminthes; also many insect larvae,worm
56250900,coin.n.01,a flying insect known for its role in pollination and for producing honey and beeswax.,bee
56458800,traveler.n.01,A person who travels aimlessly or frequently moves from place to place.,wanderer
56792430,net.n.06,"a tool made from fibers woven in a grid-like structure, used to catch fish.",fishing net
56982260,body_part.n.01,The flat part of the hand that extends from the wrist to the bases of the fingers.,palm
57673976,congestion.n.01,excessive accumulation of blood or other fluid in a body part,congestion
57716963,location.n.01,"A facility designed for scientific experiments, research, and testing, often equipped with specialized instruments and equipment.",laboratory
57729980,pie.n.01,"a type of sweet confection, usually made from sugar and often combined with fruit, chocolate, or nuts.",candy
57785005,plaything.n.01,an artifact designed to be played with,plaything
57873614,amino_acid.n.01,"Dopamine is a neurotransmitter in the brain that plays a key role in regulating mood, motivation, pleasure, and reward.",dopamine
58727024,body_part.n.01,A small depression in the retina of the eye where visual acuity is highest.,fovea
58761464,room.n.01,"Pieces of equipment designed to support various human activities such as seating, eating, and sleeping, often functioning as storage and decorative elements in indoor environments.",furniture
59399259,secretion.n.02,A chemical substance produced in the body that regulates and controls the activities of certain cells or organs.,hormone
59976859,agreement.n.01,the statement (oral or written) of an exchange of promises,agreement
60083345,plain.n.01,extensive tract of level open land,plain
60214770,antifungal.n.01,"an antibiotic derived from penicillium mold, used to treat bacterial infections by inhibiting the synthesis of bacterial cell walls.",penicillin G
60215376,deceiver.n.01,"A person who steals wallets, money, and other personal items from people's pockets or bags, often without them noticing.",pickpocket
60375309,artifact.n.01,an obstruction that prevents movement or access.,block
60606896,amide.n.01,"a chemical substance that is released at the end of a nerve fiber and transfers an impulse to another nerve fiber, a muscle fiber, or some other structure.",neurotransmitter
60668084,activity.n.01,"an act of revering or adoring a deity or something sacred, often manifested through rituals, prayers, or songs.",worship
61035709,candy.n.01,"A bathroom fixture refers to any permanent component of a bathroom, such as sinks, toilets, bathtubs, or showers, that is connected to the plumbing system.",bathroom fixture
61388266,rima.n.01,a narrow elongated opening or fissure between two symmetrical parts,rima
61627313,room.n.01,"Objects such as tables, chairs, beds, or cabinets that are used to make a room suitable for living or working.",furniture
61635816,spirit.n.04,a nonphysical part of a person which is the seat of emotions and character; often regarded as synonymous with the soul.,spirit
61853324,singing.n.01,"a style of music vocal performance marked by the use of improvisation, distinctive rhythms, and emotional expression.",jazz singing
62408818,caryophylloid_dicot_family.n.01,family of relatively early dicotyledonous plants including mostly flowers,caryophylloid_dicot_family
62841330,discipline.n.01,"A field of study and work that involves the application of scientific and mathematical principles to design, construct, and maintain structures, machines, and systems.",engineering
63015570,caryophylloid_dicot_family.n.01,family of relatively early dicotyledonous plants including mostly flowers,caryophylloid_dicot_family
63336441,plant_fiber.n.01,fiber derived from plants,plant_fiber
63633117,trouser.n.01,"A traditional garment is clothing specific to a culture, region, or historical period, often worn to symbolize cultural identity or participate in cultural events.",traditional garment
64576544,meat.n.01,a dairy product made from curdled or cultured milk that can vary in texture and flavor depending on the origin and processing method.,cheese
64687077,discolor.v.03,"a substance used to change the color of materials such as fabric, hair, or plastics.",dye
64693533,mariner.n.01,a man who serves as a sailor,mariner
64856142,coin.n.01,"a small unit of currency in various countries, typically the smallest denomination within the currency system.",penny
65411270,trope.n.01,language used in a figurative or nonliteral sense,trope
65557844,cost.n.01,"A decrease in money or resources due to spending, often related to the cost of maintaining or funding something.",expense
65824677,fern_ally.n.01,"A type of small, evergreen plant with scale-like leaves, belonging to the family Lycopodiaceae, resembling true mosses but more closely related to ferns.",club moss
65890875,cooking_utensil.n.01,"a container, typically rounded or cylindrical and of ceramic, metal, or plastic, used for storing or cooking food.",pot
65960228,artifact.n.01,"a replica or imitation gun intended for play or recreational use, especially by children.",toy gun
66668538,potato.n.01,an edible tuber native to South America; a staple food of Ireland,potato
67344811,plaything.n.01,an artifact designed to be played with,plaything
67949798,head_of_state.n.01,A ruler of a state or country who holds a position for life and often inherits the role through a royal family line.,monarch
68246844,indicator.n.04,"a colorant used to impart a yellow hue to materials, such as fabrics and plastics.",yellow dye
68280322,dairy_product.n.01,"Color is the property of objects as perceived by the human eye based on the wavelengths of light they reflect, transmit, or emit.",color
68321683,compete.v.01,"an activity engaged in for enjoyment and recreation, especially by children or as part of a performance in theater or sports.",play
68380669,think_up.v.01,"To devise or invent a plan or story, often ingeniously or with creative skill.",concoct
68575085,lawyer.n.01,a professional person authorized to practice law; conducts lawsuits or gives legal advice,lawyer
70380966,meteorology.n.02,Atmography refers to the process of recording or graphing the atmospheric or weather conditions.,atmography
70494671,movie.n.01,"a sweet food made primarily of sugar or syrup and often combined with fruit, chocolate, or nuts.",candy
71055464,room.n.01,"A type of Italian dish typically made from an unleavened dough of wheat flour mixed with water or eggs, and formed into sheets or various shapes, then cooked by boiling or baking.",pasta
71591839,cheese.n.01,"A property of light as it is reflected by objects, perceived by the eye and interpreted by the brain, based on wavelength, hue, and saturation.",color
71828875,object.n.01,a tangible and visible entity; an entity that can cast a shadow,object
71910823,street.n.01,a thoroughfare (usually including sidewalks) that is lined with buildings,street
71959499,worship.n.01,the activity of worshipping,worship
72432241,chemical_reaction.n.01,(chemistry) a process in which one or more substances are changed into others,chemical_reaction
72553814,pot.n.01,"a baked dish composed primarily of a mix of ingredients such as meat, vegetables, and a starchy binder, often topped with cheese or breadcrumbs.",casserole
73051579,heresy.n.02,a belief that rejects the orthodox tenets of a religion,heresy
73600586,antiprotozoal.n.01,Amphotericin B is an antifungal medication used to treat serious fungal infections and leishmaniasis.,amphotericin b
73616417,negotiation.n.01,Bargaining is the negotiation process between two or more parties aimed at reaching an agreement on terms or prices.,bargaining
73681289,coin.n.01,A piece of metal stamped and issued by the authority of a government for use as money.,coin
73962724,depletion.n.01,"a reduction in the number or quantity of something, typically as a result of continual use or consumption.",depletion
74175857,chromatic_color.n.01,"Color is a property of light as seen by people, typically resulting from the light’s spectrum of wavelengths being divided into different hues such as red, green, blue, and others.",color
75051801,room.n.01,"A strong-smelling, soft cheese originally from the historical Duchy of Limburg, now divided among three countries: Belgium, Germany, and the Netherlands.",limburger cheese
75787772,color.n.01,"the characteristic of sound that is pleasing to the ear, often achieved through well-structured harmony, melody, or rhythm.",musical quality
75944980,meat.n.01,a dairy product made from curdled or cultured milk that is aged and varied in texture and flavor depending on the process and type used.,cheese
75964288,rima.n.01,"A soft spot on a baby's head where the skull bones have not yet fused, allowing for brain growth and development during the first months of life.",anterior fontanelle
76066166,person.n.01,"a person who supports or follows a leader, party, or ideology.",adherent
76100398,candy.n.01,"A soft-bodied invertebrate of the phylum Mollusca, typically with a hard outer shell and including creatures such as snails, clams, and octopuses.",mollusk
76425345,cheese.n.01,"A garment typically with sleeves, fastened at the front and extending below the hips, worn outdoors to keep warm or as a fashion item.",coat
77106105,thoroughfare.n.01,"A paved public road in a town or city, typically with houses and buildings on one or both sides.",street
77132310,garment.n.01,"Covers the body from the waist to the ankles or knees, typically including pants, skirts, and shorts.",lower garment
77232534,room.n.01,"ornamental items worn for personal adornment, such as rings, necklaces, earrings, and bracelets, typically made from or containing jewels and precious metals.",jewelry
77312726,candy.n.01,a process involving the division or incision of a material or object using a sharp tool or machine.,cutting
77358840,unpleasant_person.n.01,"A person who brags about themselves or their achievements, often exaggerating the truth.",boaster
77490593,purchase.n.02,"the act of acquiring something, such as a skill, asset, or property, often implying a strategic or valuable addition.",acquisition
77726888,tool.n.01,A tool or procedure used to make holes or to practice a skill repetitively.,drill
78735978,end.v.02,to carry out or perform an action or task according to a plan or order.,execute
79077085,room.n.01,"Ornamental objects worn for personal adornment, typically made from or containing jewels and precious metals.",jewelry
79212243,furniture.n.01,"a large and elaborate meal, often celebrating a particular event or occasion.",feast
79606917,candy.n.01,"A space within a building enclosed by walls, a floor, and a ceiling.",room
79918827,laborer.n.01,A person who works in a mine extracting minerals or other geological materials.,miner
80289373,location.n.01,"a large geographic area distinguished by specific characteristics, cultural identity, or natural features.",region
80371125,spirit.n.04,"a mythical being or legendary creature in folklore, often depicted as small and humanlike in form, with magical powers and a penchant for mischief or benevolence.",fairy
80540387,quantify.v.02,"A verb referring to the action of determining the total number of items in a collection or group, or a noun denoting a noble title in European countries.",count
81135077,device.n.01,"a system of parts working together in a machine or an organism, often involving a process that is necessary for a specific function.",mechanism
81303945,candy.n.01,A room or area where food is prepared and cooked.,kitchen
81435593,worm.n.01,"A nematode is a type of unsegmented worm belonging to the phylum Nematoda, commonly found in soil and water or as parasites of plants and animals.",nematode
82282590,negotiation.n.01,a discussion intended to produce an agreement,negotiation
82696415,solid.n.01,"A hard, brittle substance typically transparent or translucent, made by fusing sand with soda, lime, and sometimes other ingredients and cooling rapidly.",glass
82916016,vehicle.n.01,Craft refers to the skills and techniques involved in creating handmade or artistic works.,craft
83084473,gastropod.n.01,"a slow-moving mollusk with a spiral shell, typically retracting into its shell for protection.",snail
83418847,coat.n.01,"A garment typically with sleeves and a length extending from the shoulders to somewhere between the hips and the knees, worn outdoors to protect the wearer from the weather or for fashion.",coat
84089324,cheese.n.01,"A perennial plant with a woody stem or trunk, normally growing to a significant height and bearing lateral branches at some distance from the ground.",tree
84306831,meat.n.01,"a room used primarily for sleeping, living, or carrying out specific activities such as a meeting or legislative session.",chamber
84510135,discolor.v.03,"a substance used to change the color of materials such as textiles, hair, or paper.",dye
84788890,popular_music.n.01,"a music genre originating from African American communities in the early 20th century, characterized by swing, blue notes, improvisation, and complex harmonies.",jazz
84985982,genetic_disease.n.01,"a disorder caused by abnormalities in an individual's DNA, often resulting in the malfunctioning of normal bodily functions.",genetic disease
85191733,cheese.n.01,"A heavy, long coat worn especially for warmth in cold weather.",greatcoat
86119145,device.n.01,A system of parts working together in a machine or an interrelated group of elements that function collaboratively within a process or control.,mechanism
86340862,shame.n.01,A feeling of self-conscious discomfort or awkwardness caused by a situation that might lead to shame or humiliation.,embarrassment
86341828,guitar.n.01,"A musical device consisting of a body with strings stretched over it, which produce sound when plucked, bowed, or struck.",stringed instrument
86537356,nonsense.n.01,a message that seems to convey no meaning,nonsense
86701636,pot.n.01,metal or earthenware cooking vessel that is usually round and deep; often has a handle and lid,pot
86714939,plan_of_action.n.01,a plan for actively doing something,plan_of_action
87574583,draw.v.06,"a rough or unfinished drawing or painting, often made to assist in making a more finished picture.",sketch
87699711,play.v.01,participate in games or sport,play
88016571,evil_spirit.n.01,a spirit tending to cause harm,evil_spirit
88087492,engineering.n.02,the discipline dealing with the art or science of applying scientific knowledge to practical problems,engineering
89227603,sauce.n.01,"A thick, creamy dressing or condiment made from oil, egg yolks, lemon juice or vinegar, and seasonings.",mayonnaise
89539854,head_of_state.n.01,"a word or phrase that serves as the name of a book, document, piece of music, or other work, often reflecting its theme or subject.",title
89926787,nonreligious_person.n.01,a person who does not manifest devotion to a deity,nonreligious_person
90244932,branch.n.02,A ceremonial or symbolic headgear worn by monarchs as a token of power and sovereignty.,crown
90493027,expense.n.01,amounts paid for goods and services that may be currently tax deductible (as opposed to capital expenditures),expense
90613035,surpass.v.02,be or do something to a greater degree,surpass
91368797,mechanism.n.05,device consisting of a piece of machinery; has moving parts that perform some function,mechanism
91784299,mercantile_establishment.n.01,a place of business for retailing goods,mercantile_establishment
91790573,professional.n.01,"A professional authorized to practice law, who advises or represents clients in legal matters.",lawyer
91834546,furniture.n.01,a piece of metal stamped and issued by the authority of a government for use as money.,coin
92068094,plate.n.14,"Protective clothing made of metal or other strong materials, worn by soldiers and warriors historically to shield themselves during combat.",armor
92311656,penal_institution.n.01,a facility intended for the detention and reformation of individuals convicted of minor offenses.,house of correction
92709444,compound.n.02,"a naturally occurring compound that contains nitrogen and oxygen, commonly used in fertilizers and explosives.",nitrate
93114575,plate.n.14,A protective metal covering used primarily in military applications to shield objects or vehicles from enemy fire.,armor plate
93256557,billfish.n.02,"A large, migratory oceanic fish with a distinctive cobalt-blue coloration on its body and a long, pointed bill.",blue marlin
93407716,trouser.n.01,A piece of clothing that is worn on the body.,garment
93436296,device.n.01,A system of parts working together in a machine or an organized framework or method.,mechanism
93512057,candy.n.01,"Preserved through salting, drying, or smoking to enhance flavor and prolong shelf life.",cured meat
94006560,trust.v.01,the acceptance that a statement is true or that something exists.,believe
94321535,organization.n.01,a group of Baptist churches that have banded together to promote shared beliefs and engage in joint missions and activities.,baptist association
94532154,young.n.01,A young female bovine animal that has not yet borne a calf.,young cow
95171107,tree.n.01,"a sweet fruit with thin skin and many small seeds, often eaten dried.",fig
95228839,tay-sachs_disease.n.01,a hereditary disorder of lipid metabolism occurring most frequently in individuals of Jewish descent in eastern Europe; accumulation of lipids in nervous tissue results in death in early childhood,Tay-Sachs_disease
95325441,blocker.n.02,A drug that reduces muscle tension and relieves pain by inhibiting nerve impulses or by blocking the contraction of muscle fibers.,muscle relaxant
95450946,activity.n.01,a feeling or expression of reverence and adoration for a deity or sacred entity.,worship
95583911,hammer.n.02,a hand tool with a heavy rigid head and a handle; used to deliver an impulsive force by striking,hammer
95718306,worship.n.01,the activity of worshipping,worship
95737828,news.n.02,A sentence typically placed at the top of a newspaper article or web page to quickly convey the subject of the content.,headline
96448597,armor_plate.n.01,specially hardened steel plate used to protect fortifications or vehicles from enemy fire,armor_plate
96482065,artifact.n.01,"a solid piece of hard material, typically with flat surfaces, used as a construction or building unit.",block
96521920,person.n.01,"A person who lacks belief in something, particularly religion or accepted truths.",disbeliever
96850153,lawman.n.01,"A law enforcement officer responsible for maintaining public order and safety, enforcing laws, and preventing, detecting, and investigating crimes.",policeman
98113191,poor_person.n.01,"a person who travels on foot from place to place, often without a permanent home or regular employment.",tramp
98195317,surface.n.01,"the front part of a person's head, from the forehead to the chin, containing the eyes, nose, and mouth.",face
98254655,religious_person.n.01,a person who manifests devotion to a deity,religious_person
98319500,heat.v.01,make hot or hotter,heat
98642787,room.n.01,"A variety of cheese originating from the English county of Gloucestershire, known for its firm texture and rich, creamy flavor.",gloucester cheese
98646702,furniture.n.01,"a piece of metal, often circular in shape, composed primarily of gold and used historically and currently as currency or a store of value.",gold coin
98929226,furniture.n.01,"A thorough change in form, appearance, or character, often associated with a significant shift in function or nature.",transformation
99178779,saint.n.01,a person acknowledged as holy or virtuous and typically regarded as being in heaven after death.,saint
99185892,demonstration.n.05,"A representation, usually at a smaller scale, used to illustrate or simulate the characteristics or behavior of a system or object.",model
99211012,coin.n.01,"A ceremonial or symbolic headpiece worn by a monarch as a symbol of authority, often made of precious metals and jewels.",crown
99410560,tree.n.01,"A type of tree in the genus Ficus that produces the fruit known as figs, commonly grown for its edible fruit and ornamental value.",fig tree
99862294,pervert.n.01,a person whose behavior deviates from what is acceptable especially in sexual behavior,pervert
